,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits
1969,10927581,5336.55293595,0.903,1.07325548797,15.507,1172.4,0,295.10941,48.311089,11111111111111111,14.036,13.629000000000001,13.556,182.22799999999998,0.94,False,False,0.015994149004439184,440.8612459724054,2,1.8802087747455976,68.95763109065679,6191,61.56575104794517,63.75544368824539,0.12790574386453613,-0.2774747418640957,0.016038409796863856,0.9673040001522268,0.1070506159261068,1.6028770327840383,257.23058881213854,241.7967534834102,True
2068,10972900,5582.031300899999,0.968,0.996769662644,15.784,1431.866,0,290.44409,48.403568,11111111111111111,14.534,14.174000000000001,14.094000000000001,170.00099999999995,0.938,False,False,0.009579050446346216,529.2999506611067,2,2.238888380668788,67.51177015710178,6449,40.99470367764527,69.2712283672547,0.01849012429731132,1.9569286632024392,0.020563450005744548,0.6746915550870731,0.23756401673730326,2.387789019510576,422.8554761387555,396.63843661815264,True
2069,10972900,5582.031300899999,0.968,0.996769662644,15.784,1431.866,0,290.44409,48.403568,11111111111111111,14.534,14.174000000000001,14.094000000000001,170.00099999999995,0.938,False,False,0.009579050446346216,529.2999506611067,2,1.8869452727666343,71.36794343371486,6449,66.87412927903853,71.88451497872252,0.09096050980839283,-2.965685321777826,0.01733096884826476,0.6719271073895169,0.24141133571024445,2.4070463346279536,300.36248121952354,281.74000738391305,True
2306,11087575,5677.80712526,1.091,1.08768795007,15.453,1468.672,0,293.57412999999997,48.65049000000001,11111111111111111,14.282,13.963,13.924000000000001,143.536,0.9390000000000001,False,False,0.005279123835211785,426.86581688313987,1,1.6747553445401855,73.7598959099355,7217,20.66055050517482,70.07886308219051,0.016958202760097782,-0.8852101755681452,0.014096308760503098,0.36499240354837814,0.3169974981321835,2.758249436721125,198.7059206714364,186.5848595104788,True
2435,11081611,5556.51068238,0.867,1.12252202441,14.892000000000001,1015.794,0,290.52621,48.683708,11111111111111111,13.587,13.259,13.119000000000002,101.455,0.9329999999999999,False,False,0.0019231032975270956,305.86371802836646,2,2.4190697191617576,188.8354904776964,7683,177.1050824814931,117.70732583127749,0.006630998931817976,0.6435786119956126,0.019729308465520914,0.22725409534882657,0.5076441678014788,3.4904813460661113,389.2456125276752,363.1661564883209,True
2436,11081611,5556.51068238,0.867,1.12252202441,14.892000000000001,1015.794,0,290.52621,48.683708,11111111111111111,13.587,13.259,13.119000000000002,101.455,0.9329999999999999,False,False,0.0019231032975270956,305.86371802836646,2,2.3467492459938963,148.85476255865737,7683,70.97727314208164,100.44374626533457,0.15212337188843628,0.8656145647076601,0.01913948134636059,0.21106987355973664,0.47033986892579144,3.3597852393001246,366.319746207685,341.7763232117701,True
2605,11086878,5697.70916442,1.053,1.12538901314,15.069,1262.239,0,293.24246,48.60479,11111111111111111,13.867,13.572000000000001,13.534,114.645,0.9420000000000001,False,False,0.006506902263388126,340.2581915093102,1,0.9107628043950975,114.0924854648171,8116,78.43206633097688,89.52570121241772,0.09635084765887841,2.2368726757566257,0.007409023348266734,0.6212575891597788,0.32171346206521306,2.778690894929681,54.8936269751616,51.70979661060223,True
2627,11235352,5360.63118484,0.892,1.01789189785,15.41,1112.096,0,287.06631,48.949878999999996,11111110111011101,14.04,13.658,13.559000000000001,214.11,0.9390000000000001,False,False,0.00978680061719428,416.2192566855175,1,2.4790199578191703,55.29529731001914,8183,33.47434621644315,57.78498568529858,0.0067422846023089626,-1.820752976655467,0.022296500995608648,0.5618099553226341,0.2601720175139432,2.4988254081337167,497.13395664717746,466.8087852916997,True
2691,11231999,5387.22675287,0.94,0.866633754771,15.296,894.867,0,285.0228600000001,48.98307,11110111011101,13.927999999999999,13.552,13.450999999999999,162.54,0.9,False,False,0.008028994264998923,388.8058412189541,1,2.4075357184655974,51.320188677611554,8381,32.221297219394934,65.71564346330892,0.010280583922144999,-0.8118217627699975,0.025432876784699753,0.523639164934396,0.2191770367984798,2.293523246702225,646.8312215457197,582.1480993911478,True
2823,11228515,5609.54793231,1.003,0.860944093275,15.219000000000001,947.971,0,282.54535,48.950278999999995,11111111111111111,13.927999999999999,13.626,13.575,171.428,0.945,False,False,0.005754940057859703,369.93628271756523,1,2.41956160084136,52.73369370373095,8794,26.50884420255684,68.83147446530081,2.8758728218679336e-05,2.351875180931013,0.025728832602173648,0.39612909934795876,0.23074509980382918,2.3532705741779676,661.9728270706736,625.5643215817865,True
2842,11243703,5548.92667327,0.897,0.970218547966,15.106,995.368,0,291.61383,48.98365,11111111111111,13.809000000000001,13.468,13.392999999999999,120.58200000000001,0.955,False,False,0.0031999983704926738,346.9290706375627,1,2.289523490610763,531.6122149712118,8869,161.18049019489789,274.61702627490706,0.07047328703651301,-0.21796478018851007,0.02160398561796622,0.8610176693051165,0.3388097699705016,2.8515670217078957,466.7321945812912,445.7292458251331,True
2962,11250420,5618.90614548,1.014,0.9526529415270001,14.373,796.0,0,294.75363,48.997741999999995,11111111111111111,13.293,12.925,12.923,140.42700000000002,0.96,False,False,0.0015991850757665071,229.76054570473178,1,2.195239302625321,670.9218682407588,9203,389.30520137635995,340.2479273890351,0.011447027459003117,-0.9337206426692424,0.021096261754381212,0.5390413597005032,0.5443237936224671,3.6143839097333323,445.05226000936744,427.25016960899273,True
