,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits
2490,10545932,5912.49279099,1.069,1.3450698795500002,15.671,2109.26,0,295.98248,47.743099,1111101110111011,14.575999999999999,14.265999999999998,14.18,172.613,0.9129999999999999,False,False,0.014350655615518737,489.95729969310895,1,1.8800631701398414,75.91839725935061,3606,30.721295056125825,57.37842979181786,0.24980219138518428,1.163987290042229,0.01279634507047961,0.9609406190553638,0.13475300872724597,1.7983526376809147,163.74644716278783,149.50050625962527,True
2794,10590328,5561.25524316,0.978,0.825260498061,15.52,1068.5339999999999,0,287.6321700000001,47.854118,11111111111111111,14.352,13.991,13.946,160.575,0.934,False,False,0.000662056107719744,445.2413010559631,1,2.257013786220149,78.03041956853424,4055,55.87368034262831,92.46288493969301,0.04152429262504793,-0.011247267816087536,0.025038107677993016,0.061081476426219194,0.2748673524402752,2.568426845087593,626.9068360947729,585.5309849125179,True
3132,10646660,5833.48550157,1.021,1.2767681374200002,15.152999999999999,1461.026,0,282.41638,47.970959,11111111111111111,13.955,13.651,13.572000000000001,144.582,0.9470000000000001,False,False,0.009610189082077447,356.1046142650539,1,2.201432239161767,55.64748232132172,4552,46.274091422689175,48.394552223349635,0.0163268120251324,0.5773256444906951,0.015785256194011808,0.4691011251124614,0.32980646675072095,2.813424106319078,249.17431311058814,235.96807451572698,True
3369,10620780,5225.66097225,0.848,0.864814814978,15.339,809.3380000000001,0,298.8396600000001,47.864288,11111101110111011,13.878,13.457,13.335,218.613,0.9009999999999999,False,False,0.009630992660660476,399.12939945164464,2,0.8047835721340834,103.8507163585121,4856,96.57936661876866,101.80085184538419,0.006251933342248092,-1.049833584865826,0.008519504378604988,0.975088427783075,0.08362418865505866,1.416679401883647,72.58195485706956,65.39634132621967,True
3370,10620780,5225.66097225,0.848,0.864814814978,15.339,809.3380000000001,0,298.8396600000001,47.864288,11111101110111011,13.878,13.457,13.335,218.613,0.9009999999999999,False,False,0.009630992660660476,399.12939945164464,2,0.7150100819894551,97.89739084038705,4856,28.177477692136844,97.87215683801773,0.0361584169470494,1.0869243351816946,0.007569154907204017,0.971544038031223,0.08501993781207705,1.4284531870137884,57.292106009250645,51.62018751433482,True
3427,10601760,5103.01494996,0.6779999999999999,0.847866464107,15.727,903.497,0,292.56677,47.892471,1111111111111111,14.127,13.665999999999999,13.582,170.37599999999995,0.9329999999999999,False,False,0.011340835629615853,507.5260689140453,2,1.4847411952645517,72.0177672284618,4911,51.15506901169774,75.50547772779414,0.06875649564832861,1.94014822571161,0.016031776486127858,0.9071524736138638,0.13893927296259337,1.82607298624733,257.0178573011621,239.79766086198424,True
3465,10596441,5385.37326298,0.772,0.919941664353,15.728,1171.737,0,290.36304,47.85461,11111111111111111,14.395999999999999,13.974,13.92,174.53400000000005,0.956,False,False,0.007589468587963388,507.9080668394322,1,2.0011256104875303,138.14167317323003,4975,124.55231624933374,112.18415916122177,0.020804773264226098,-1.5848402196927136,0.019914637714444766,0.833337810584803,0.23049098389508738,2.3519744074887585,396.59279529758584,379.142712304492,True
3633,10716715,5776.52287036,1.108,1.32974529804,15.798,2007.183,0,285.20092999999997,48.029121,11110111011101,14.575,14.290999999999999,14.107000000000001,186.847,0.91,False,False,0.007848181507045693,534.647921616525,1,1.7070149756805013,185.4086189453371,5215,134.55469783680513,106.52077573736659,0.055394792636202686,-0.6223978002243356,0.01175241764373202,0.8064311826527104,0.3385300962810195,2.8503898524139584,138.1193204727037,125.68858163016036,True
3732,10735805,5571.47785901,1.125,0.9440986599179999,15.514000000000001,1139.9080000000001,0,293.67606,48.023659,11111111111111111,14.325,14.008,13.745999999999999,144.963,0.943,False,False,0.0018265858718751193,443.2197371712447,2,2.179400270532195,141.78314775904974,5339,64.36345394211683,126.10126793187375,0.08551920125740932,-2.068843297561018,0.021133818237232982,0.21134515908187612,0.3575494882631854,2.929366436333367,446.63827328440135,421.17989170719045,True
3733,10735805,5571.47785901,1.125,0.9440986599179999,15.514000000000001,1139.9080000000001,0,293.67606,48.023659,11111111111111111,14.325,14.008,13.745999999999999,144.963,0.943,False,False,0.0018265858718751193,443.2197371712447,2,0.5131103391486203,457.5902019971611,5339,366.1706587111705,275.393818921573,0.03701024810386104,0.28080905306844794,0.0049756718808536635,0.5075008937665239,0.45877945250853736,3.318238517678453,24.75731066591783,23.346143957960514,True
4376,10959297,5528.16313921,0.952,0.855494015432,14.047,548.891,0,282.0547200000001,48.427769,11111111111111111,12.804,12.457,12.4,94.262,0.973,False,False,0.0015306470897077373,193.29193004173945,1,1.8969551420036035,188.4381122178207,6255,93.59510064138418,159.11486497729587,0.05115063145145062,-1.262704336445484,0.020300111995842942,0.23104040047846927,0.37463570834880827,2.998542479334151,412.0945470437665,400.9679942735848,True
4426,10866787,5178.46597498,0.828,0.7579074832930001,15.898,984.796,0,294.1366,48.296539,11111111111111111,14.502,14.040999999999999,14.014000000000001,190.035,0.8909999999999999,False,False,0.0020386943872795493,573.8631256332022,2,1.7184495184937973,325.6438838431988,6335,95.32152627111809,246.88353017184482,0.04681228971168721,-1.7590971274861995,0.02075768571838828,0.47907201233891905,0.3784403633790932,3.0137300345416205,430.8815163833808,383.91543109759226,True
4427,10866787,5178.46597498,0.828,0.7579074832930001,15.898,984.796,0,294.1366,48.296539,11111111111111111,14.502,14.040999999999999,14.014000000000001,190.035,0.8909999999999999,False,False,0.0020386943872795493,573.8631256332022,2,1.7322119153677051,414.106173489648,6335,408.88003899443606,289.7819328595957,0.05887516430856976,-2.0529309143315224,0.020923925986703354,0.557911825146771,0.38891680277592366,3.055160104908116,437.8106786970399,390.08931471906254,True
5074,11128648,5953.03867709,0.981,1.09833743076,14.738,1096.66,0,287.17606,48.73402,11111110111011101,13.639000000000001,13.29,13.262,98.522,0.968,False,False,0.010828217355478342,280.8818865345654,1,1.3188103177516155,104.81689726087114,7302,40.14202811129955,84.66638212331594,0.00673083299270738,-2.5173836333428667,0.010992713278160407,0.9131379342655416,0.17100392827468983,2.0258564308935014,120.83974521584412,116.9728733689371,True
5292,11027239,5960.67728642,1.005,1.2232735048899999,14.495999999999999,1101.671,0,290.62518,48.590038,11111111111111111,13.377,13.020999999999999,13.026,87.98,0.9740000000000001,False,False,0.008629501860460187,247.294801615189,1,1.4949151685286137,169.7808521924717,7585,84.97871844835898,105.6964761306349,0.02972335497745293,-0.48046542886074617,0.011187970893810979,0.8987716666039206,0.23693140898012907,2.3846076858726883,125.17069272076164,121.91625471002185,True
5536,11121401,5674.11770769,1.038,0.9286311071789999,14.991,1007.94,0,282.14966,48.759819,11111111111111111,13.850999999999999,13.522,13.493,138.17600000000002,0.938,False,False,0.004968132885436516,326.1542377769932,2,1.6537420865992682,191.31764814942,7899,170.73117539153498,152.40369518601517,0.17938499605886168,2.6828094688654502,0.016303577045581313,0.7929475521643307,0.2540180307883271,2.4690955305374174,265.8066244812059,249.32661376337114,True
